Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
215326,JA185298,03/12/2017 09:40:00 AM,0000X W 87TH ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,622,21.0,06,1176822.0,1847277.0,41.736269116,-87.627768243,"(41.736269116, -87.627768243)",6.0
70281,JA271898,05/18/2017 09:00:00 AM,0000X W LAKE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,N,N,111,42.0,11,1175790.0,1901739.0,41.88574102,-87.62991594,"(41.88574102, -87.62991594)",1.0
166717,JA127431,01/23/2017 08:50:00 PM,051XX W MADISON ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,N,N,1533,28.0,04B,1141945.0,1899533.0,41.880381519,-87.754257238,"(41.880381519, -87.754257238)",15.0
132594,JA404672,08/24/2017 05:21:00 PM,064XX N RIDGE BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2412,50.0,08B,1162611.0,1942787.0,41.998665271,-87.677157858,"(41.998665271, -87.677157858)",24.0
140960,JA133214,01/28/2017 01:37:00 PM,029XX W 63RD ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,N,N,823,15.0,24,1157710.0,1862721.0,41.779058475,-87.69737009,"(41.779058475, -87.69737009)",8.0
79467,JA285903,05/28/2017 06:00:00 PM,052XX N OAKVIEW AVE,0560,ASSAULT,SIMPLE,STREET,N,N,1614,41.0,08A,1117315.0,1933551.0,41.9741522,-87.843985377,"(41.9741522, -87.843985377)",16.0
101014,JA362379,07/25/2017 03:30:00 AM,036XX N LECLAIRE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1634,38.0,08B,1141708.0,1923920.0,41.947306502,-87.754523168,"(41.947306502, -87.754523168)",16.0
125575,JA459793,10/05/2017 08:00:00 AM,041XX W CRYSTAL ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,2534,37.0,05,1148503.0,1908012.0,41.90352486,-87.729957753,"(41.90352486, -87.729957753)",25.0
193659,JA168587,02/26/2017 09:30:00 PM,066XX S OAKLEY AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,832,15.0,05,1162218.0,1860499.0,41.772868326,-87.680905052,"(41.772868326, -87.680905052)",8.0
69380,JA269072,05/18/2017 12:05:00 PM,062XX S STONY ISLAND AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",Y,N,314,5.0,08A,1187942.0,1863988.0,41.781868226,-87.586497376,"(41.781868226, -87.586497376)",3.0
213180,HZ527512,11/24/2016 03:00:00 AM,011XX N LEAMINGTON AVE,0460,BATTERY,SIMPLE,STREET,N,N,1531,37.0,08B,1141824.0,1907005.0,41.900887827,-87.754516465,"(41.900887827, -87.754516465)",15.0
202973,HZ528648,11/25/2016 11:55:00 AM,021XX W PIERCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1424,32.0,14,1161771.0,1910214.0,41.909300888,-87.681159825,"(41.909300888, -87.681159825)",14.0
218098,JA185485,03/13/2017 12:39:00 PM,112XX S MICHIGAN AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,Y,N,531,9.0,26,1178800.0,1830639.0,41.690567503,-87.621025854,"(41.690567503, -87.621025854)",5.0
189675,HZ515274,11/14/2016 12:30:00 AM,080XX S ST LOUIS AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,834,18.0,06,1154443.0,1851246.0,41.747634931,-87.70965235,"(41.747634931, -87.70965235)",8.0
133420,JA104308,01/04/2017 05:05:00 PM,038XX W JACKSON BLVD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,N,N,1122,28.0,14,1150942.0,1898415.0,41.87714227,-87.721250157,"(41.87714227, -87.721250157)",11.0
93372,JA433119,09/15/2017 10:48:00 PM,012XX N STATE PKWY,0460,BATTERY,SIMPLE,SIDEWALK,Y,N,1824,42.0,08B,1176066.0,1908568.0,41.90447393,-87.62869647,"(41.90447393, -87.62869647)",18.0
98362,JA454513,10/01/2017 08:12:00 PM,038XX W GRAND AVE,2027,NARCOTICS,POSS: CRACK,STREET,Y,N,2535,27.0,18,1150331.0,1908525.0,41.904897104,-87.723229646,"(41.904897104, -87.723229646)",25.0
10562,JA189933,03/17/2017 06:43:00 AM,012XX W WINNEMAC AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,ALLEY,N,N,2033,48.0,26,1167122.0,1933698.0,41.973628765,-87.660825891,"(41.973628765, -87.660825891)",20.0
138475,JA107003,01/07/2017 08:01:00 AM,063XX S WASHTENAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,N,825,15.0,08B,1159466.0,1862512.0,41.778449132,-87.690938109,"(41.778449132, -87.690938109)",8.0
242017,JA426418,09/10/2017 09:30:00 PM,040XX W CONGRESS PKWY,2017,NARCOTICS,MANU/DELIVER:CRACK,RESIDENTIAL YARD (FRONT/BACK),Y,N,1132,24.0,18,1149497.0,1897385.0,41.874343989,-87.726582558,"(41.874343989, -87.726582558)",11.0
209024,JA417124,07/28/2017 12:01:00 AM,028XX W ROSCOE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,1733,33.0,11,,,,,,
253807,JA484746,10/24/2017 09:38:00 PM,0000X W 103RD ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,511,9.0,03,1177986.0,1836679.0,41.707160552,-87.623823775,"(41.707160552, -87.623823775)",5.0
62412,JA448199,09/26/2017 09:13:00 PM,072XX S WESTERN AVE,2027,NARCOTICS,POSS: CRACK,GAS STATION,Y,N,832,18.0,18,1161626.0,1856687.0,41.762419957,-87.683180808,"(41.762419957, -87.683180808)",8.0
102306,JA363722,07/26/2017 03:22:00 AM,022XX W 57TH ST,0865,THEFT,DELIVERY CONTAINER THEFT,OTHER RAILROAD PROP / TRAIN DEPOT,N,N,824,16.0,06,1162179.0,1866836.0,41.79025872,-87.680871753,"(41.79025872, -87.680871753)",8.0
84264,JA349046,07/03/2017 09:00:00 PM,007XX N FAIRBANKS CT,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,1834,42.0,06,1178370.0,1905271.0,41.895374574,-87.620333997,"(41.895374574, -87.620333997)",18.0
124818,JA395489,08/17/2017 07:00:00 PM,003XX N PULASKI RD,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,N,N,1114,28.0,03,1149672.0,1901737.0,41.886282964,-87.725826925,"(41.886282964, -87.725826925)",11.0
261854,JA438242,09/19/2017 06:16:00 PM,058XX S WOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,715,15.0,14,1165352.0,1865822.0,41.787409509,-87.669265899,"(41.787409509, -87.669265899)",7.0
58229,JA445852,09/22/2017 01:00:00 PM,126XX S ESCANABA AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,433,10.0,11,1197378.0,1821676.0,41.665530375,-87.553308943,"(41.665530375, -87.553308943)",4.0
33365,JA220597,04/09/2017 01:00:00 PM,073XX S HALSTED ST,0460,BATTERY,SIMPLE,STREET,N,N,733,17.0,08B,1172235.0,1856292.0,41.761109412,-87.644308897,"(41.761109412, -87.644308897)",7.0
169283,JA148665,02/10/2017 01:00:00 PM,001XX S FRANCISCO AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1124,2.0,18,1157083.0,1899086.0,41.87886117,-87.698683861,"(41.87886117, -87.698683861)",11.0
237438,JA419114,09/05/2017 03:17:00 AM,076XX S HALSTED ST,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,N,N,621,17.0,26,1172289.0,1854291.0,41.755617231,-87.644169735,"(41.755617231, -87.644169735)",6.0
146597,JA130995,01/26/2017 03:29:00 PM,045XX W NORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2533,37.0,06,1145678.0,1910242.0,41.909698273,-87.740278082,"(41.909698273, -87.740278082)",25.0
231481,JA412098,08/30/2017 12:40:00 PM,033XX N WESTERN AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,N,N,1921,47.0,06,1159785.0,1922188.0,41.942199582,-87.688124523,"(41.942199582, -87.688124523)",19.0
46520,JA236176,04/23/2017 04:08:00 PM,019XX W MARQUETTE RD,0460,BATTERY,SIMPLE,SIDEWALK,N,N,726,15.0,08B,1164381.0,1860230.0,41.772084852,-87.672983599,"(41.772084852, -87.672983599)",7.0
161276,JA107425,01/07/2017 02:20:00 PM,0000X W PARKING LOT A ST,1320,CRIMINAL DAMAGE,TO VEHICLE,AIRPORT PARKING LOT,N,N,1654,41.0,14,1101086.0,1935036.0,41.978466127,-87.903638571,"(41.978466127, -87.903638571)",16.0
101629,JA363161,07/25/2017 04:00:00 AM,036XX S HOYNE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,912,11.0,14,1162952.0,1880530.0,41.827820565,-87.677654271,"(41.827820565, -87.677654271)",9.0
122999,JA400465,04/16/2017 09:00:00 AM,052XX S NEWCASTLE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,N,N,811,23.0,11,,,,,,
17502,JA197209,03/23/2017 07:30:00 AM,013XX W FULLER ST,0820,THEFT,$500 AND UNDER,STREET,N,N,913,11.0,06,1167869.0,1885759.0,41.842065055,-87.659463894,"(41.842065055, -87.659463894)",9.0
189398,JA164745,02/23/2017 02:34:00 PM,060XX S INDIANA AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,311,20.0,05,1178633.0,1865015.0,41.784903215,-87.620594973,"(41.784903215, -87.620594973)",3.0
219335,JA303231,06/12/2017 09:25:00 AM,064XX S WHIPPLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,823,15.0,14,1157156.0,1861841.0,41.776654852,-87.699424903,"(41.776654852, -87.699424903)",8.0
210111,JA185506,02/28/2017 11:00:00 AM,009XX E 100TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,N,Y,511,8.0,26,1184339.0,1838433.0,41.711827749,-87.600504644,"(41.711827749, -87.600504644)",5.0
