Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
134609,JA137143,01/31/2017 07:15:00 PM,002XX N HAMLIN BLVD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,1122,28.0,26,1151026.0,1900813.0,41.883720998,-87.720878898,"(41.883720998, -87.720878898)",11.0
239785,JA422231,09/07/2017 02:00:00 AM,027XX N LAVERGNE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,2521,31.0,26,1142575.0,1917953.0,41.930916373,-87.751485134,"(41.930916373, -87.751485134)",25.0
1341,HZ562804,12/23/2016 04:00:00 PM,036XX N KIMBALL AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1732,35.0,11,1153073.0,1924093.0,41.947563025,-87.712743504,"(41.947563025, -87.712743504)",17.0
184458,HZ515215,11/10/2016 02:30:00 PM,037XX W DOUGLAS BLVD,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",N,N,1011,24.0,08B,1151783.0,1893036.0,41.862365191,-87.718303732,"(41.862365191, -87.718303732)",10.0
96956,JA356379,07/20/2017 04:17:00 PM,003XX W CERMAK RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,914,25.0,06,1174359.0,1889753.0,41.852882701,-87.635528609,"(41.852882701, -87.635528609)",9.0
48813,JA238213,04/25/2017 06:16:00 AM,079XX S PAULINA ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,Y,N,611,21.0,18,1166391.0,1852082.0,41.749683042,-87.665847295,"(41.749683042, -87.665847295)",6.0
143832,JA469877,10/13/2017 03:00:00 PM,015XX N SEDGWICK ST,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1821,27.0,08B,1173369.0,1910426.0,41.90963274,-87.638547921,"(41.90963274, -87.638547921)",18.0
167997,JA146039,02/08/2017 09:10:00 AM,012XX S ASHLAND AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,1233,2.0,06,1165916.0,1894587.0,41.866331725,-87.666379171,"(41.866331725, -87.666379171)",12.0
150021,JA296568,06/07/2017 02:30:00 PM,014XX E 62ND ST,0560,ASSAULT,SIMPLE,RESIDENCE,N,N,314,20.0,08A,1186732.0,1864170.0,41.782396402,-87.590927716,"(41.782396402, -87.590927716)",3.0
109125,JA374986,08/02/2017 11:00:00 PM,098XX S PROSPECT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,Y,2213,19.0,06,1167061.0,1839566.0,41.715322988,-87.663748928,"(41.715322988, -87.663748928)",22.0
9601,JA320201,06/23/2017 11:00:00 PM,016XX N MILWAUKEE AVE,0810,THEFT,OVER $500,STREET,N,N,1434,32.0,06,1162538.0,1910816.0,41.910936781,-87.678325323,"(41.910936781, -87.678325323)",14.0
146865,JA128764,01/24/2017 08:59:00 PM,037XX W ROOSEVELT RD,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,PARKING LOT/GARAGE(NON.RESID.),Y,N,1133,24.0,04A,1151372.0,1894447.0,41.866245207,-87.719775451,"(41.866245207, -87.719775451)",11.0
165118,JA472760,10/16/2017 03:10:00 AM,080XX S LAFAYETTE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,Y,N,623,17.0,04A,1177333.0,1851793.0,41.748650061,-87.625760085,"(41.748650061, -87.625760085)",6.0
69041,JA269282,05/17/2017 05:30:00 PM,031XX N NORMANDY AVE,0820,THEFT,$500 AND UNDER,ALLEY,N,N,2511,36.0,06,1131206.0,1920077.0,41.936948994,-87.793215448,"(41.936948994, -87.793215448)",25.0
