Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
125556,JA460389,10/05/2017 04:20:00 PM,017XX W HOWARD ST,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,N,N,2422,49.0,26,1163126.0,1950347.0,42.019399237,-87.675049485,"(42.019399237, -87.675049485)",
213197,JA182796,03/10/2017 09:35:00 PM,061XX N CLARK ST,0460,BATTERY,SIMPLE,OTHER,N,N,2433,40.0,08B,1164540.0,1940838.0,41.993276382,-87.670117213,"(41.993276382, -87.670117213)",24.0
152823,JA123918,01/21/2017 01:45:00 AM,015XX W FARWELL AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,N,N,2431,49.0,02,1164937.0,1945712.0,42.006642305,-87.668517697,"(42.006642305, -87.668517697)",24.0
167972,JA146707,02/08/2017 05:30:00 PM,042XX W MONROE ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1115,28.0,06,1148163.0,1899324.0,41.879690601,-87.731430526,"(41.879690601, -87.731430526)",11.0
45746,JA234586,04/22/2017 10:00:00 AM,080XX S SPAULDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,834,18.0,14,1155780.0,1851053.0,41.747078609,-87.704758294,"(41.747078609, -87.704758294)",8.0
66615,JA265439,05/15/2017 11:53:00 PM,047XX W DIVERSEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2521,31.0,14,1144490.0,1918201.0,41.931561031,-87.74444156,"(41.931561031, -87.74444156)",25.0
5066,HZ566177,12/27/2016 04:45:00 AM,014XX W 80TH ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,N,Y,612,21.0,04B,1168305.0,1851703.0,41.748602054,-87.658844476,"(41.748602054, -87.658844476)",6.0
49664,JA240476,04/26/2017 06:40:00 PM,114XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,531,9.0,06,1178868.0,1828958.0,41.685953051,-87.620827806,"(41.685953051, -87.620827806)",5.0
225794,JA411051,08/29/2017 03:00:00 PM,080XX S INGLESIDE AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,631,8.0,06,1183958.0,1851943.0,41.74890961,-87.601479268,"(41.74890961, -87.601479268)",6.0
138429,JA468515,10/09/2017 12:00:00 PM,017XX W WALLEN AVE,0560,ASSAULT,SIMPLE,OTHER,N,N,2432,40.0,08A,1163481.0,1944220.0,42.002579121,-87.673916805,"(42.002579121, -87.673916805)",24.0
110387,JA376284,08/03/2017 11:15:00 PM,0000X W 103RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,511,9.0,18,1177986.0,1836679.0,41.707160552,-87.623823775,"(41.707160552, -87.623823775)",5.0
90038,JA350726,07/16/2017 04:00:00 PM,042XX S ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),N,N,924,12.0,07,1166380.0,1876821.0,41.817570192,-87.665183168,"(41.817570192, -87.665183168)",9.0
23630,JA444451,09/24/2017 07:09:00 AM,045XX W 66TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,833,13.0,26,1147362.0,1860124.0,41.77213562,-87.735373516,"(41.77213562, -87.735373516)",8.0
