Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
171024,JA150676,02/12/2017 05:20:00 AM,057XX N MENARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1622,45.0,14,1136553.0,1937695.0,41.985200348,-87.773140827,"(41.985200348, -87.773140827)",16.0
174608,HZ501670,11/03/2016 08:00:00 PM,011XX S CLARK ST,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,N,N,123,2.0,06,1175696.0,1895352.0,41.86821682,-87.6304532,"(41.86821682, -87.6304532)",1.0
115022,JA381327,08/07/2017 03:09:00 PM,077XX S WOOD ST,0460,BATTERY,SIMPLE,STREET,N,Y,611,17.0,08B,1165696.0,1853277.0,41.75297706,-87.668360229,"(41.75297706, -87.668360229)",6.0
206433,HZ531837,11/28/2016 10:30:00 AM,024XX N LONG AVE,0820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,N,Y,2515,31.0,06,1139972.0,1915795.0,41.925042668,-87.761103682,"(41.925042668, -87.761103682)",25.0
49,HZ561250,12/22/2016 10:00:00 AM,008XX E 100TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,511,8.0,08B,1183729.0,1838674.0,41.712503307,-87.602731114,"(41.712503307, -87.602731114)",5.0
233035,HZ555745,12/18/2016 04:30:00 AM,072XX S CARPENTER ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,733,17.0,07,1170564.0,1856874.0,41.76274306,-87.650416285,"(41.76274306, -87.650416285)",7.0
72989,JA275279,05/22/2017 10:20:00 PM,015XX N DEARBORN PKWY,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1824,42.0,03,1175648.0,1910598.0,41.910053754,-87.630170756,"(41.910053754, -87.630170756)",18.0
170754,JA150659,02/12/2017 04:11:00 AM,051XX S LAWLER AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,814,23.0,03,1143564.0,1870037.0,41.799410178,-87.749049136,"(41.799410178, -87.749049136)",8.0
159336,JA133077,01/28/2017 12:11:00 PM,065XX S TROY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,831,15.0,14,1156514.0,1861048.0,41.774491704,-87.701799816,"(41.774491704, -87.701799816)",8.0
247930,JA315960,06/20/2017 11:50:00 PM,058XX S PRINCETON AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,N,N,711,20.0,04B,1175284.0,1866264.0,41.788406126,-87.63283645,"(41.788406126, -87.63283645)",7.0
116466,JA383451,08/09/2017 12:07:00 AM,071XX S CALIFORNIA AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,831,18.0,03,1158940.0,1857212.0,41.763915923,-87.69301113,"(41.763915923, -87.69301113)",8.0
186397,JA163742,02/22/2017 04:00:00 PM,050XX W VAN BUREN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1533,29.0,11,1142763.0,1897539.0,41.874894549,-87.751303239,"(41.874894549, -87.751303239)",15.0
161872,JA121800,01/19/2017 02:40:00 PM,041XX N MARINE DR,0560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1915,46.0,08A,1171210.0,1927608.0,41.956828595,-87.645973056,"(41.956828595, -87.645973056)",19.0
119061,JA386669,08/11/2017 10:56:00 AM,078XX S SOUTH SHORE DR,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,PARKING LOT/GARAGE(NON.RESID.),N,N,421,7.0,04A,1197856.0,1854014.0,41.754256907,-87.550483752,"(41.754256907, -87.550483752)",4.0
207424,JA177805,03/07/2017 05:11:00 AM,021XX N CICERO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2522,31.0,08B,1144041.0,1913992.0,41.920019567,-87.746197489,"(41.920019567, -87.746197489)",25.0
