Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
184460,JA161362,02/20/2017 06:00:00 PM,002XX E GRAND AVE,0890,THEFT,FROM BUILDING,OTHER,N,N,1834,42.0,06,1177890.0,1903953.0,41.891768851,-87.622137022,"(41.891768851, -87.622137022)",18.0
155040,JA141993,02/04/2017 09:24:00 PM,035XX N BROADWAY,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,Y,N,1925,46.0,06,1171076.0,1923738.0,41.946212132,-87.646579678,"(41.946212132, -87.646579678)",19.0
221151,HZ545805,12/09/2016 02:50:00 PM,076XX S CHAMPLAIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,624,6.0,08B,1181886.0,1854575.0,41.756180212,-87.608990576,"(41.756180212, -87.608990576)",6.0
131339,JA403643,08/23/2017 08:15:00 PM,043XX S HERMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,924,12.0,14,1165407.0,1875855.0,41.814940087,-87.668779824,"(41.814940087, -87.668779824)",9.0
76495,JA278570,05/25/2017 12:00:00 PM,012XX S PULASKI RD,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",N,N,1011,24.0,08B,1149911.0,1894141.0,41.865434036,-87.725146911,"(41.865434036, -87.725146911)",10.0
23604,JA208753,03/29/2017 09:00:00 AM,089XX S ESCANABA AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,423,10.0,26,1196940.0,1846319.0,41.733164059,-87.554095881,"(41.733164059, -87.554095881)",4.0
85248,JA357478,07/21/2017 01:30:00 PM,005XX E 47TH ST,0620,BURGLARY,UNLAWFUL ENTRY,OTHER,N,N,223,3.0,05,1180478.0,1873968.0,41.809428874,-87.613555623,"(41.809428874, -87.613555623)",2.0
172041,HZ497715,11/01/2016 09:10:00 AM,008XX E 131ST ST,0560,ASSAULT,SIMPLE,CHA PARKING LOT/GROUNDS,N,Y,533,9.0,08A,1184130.0,1818523.0,41.657196893,-87.601889119,"(41.657196893, -87.601889119)",5.0
148737,JA145272,02/05/2017 09:00:00 AM,054XX N ARTESIAN AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,2011,40.0,11,1159020.0,1936067.0,41.980300074,-87.690553582,"(41.980300074, -87.690553582)",20.0
54815,JA247256,05/02/2017 07:10:00 AM,014XX E 67TH PL,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,N,Y,332,5.0,04A,1186969.0,1860524.0,41.772385854,-87.590174337,"(41.772385854, -87.590174337)",3.0
253574,JA485129,10/24/2017 07:56:00 AM,045XX N HAMLIN AVE,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",N,N,1723,39.0,08A,1150235.0,1930071.0,41.964023009,-87.723018865,"(41.964023009, -87.723018865)",17.0
69711,JA271158,05/18/2017 09:32:00 PM,008XX W CHICAGO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),N,N,1213,27.0,07,1170507.0,1905569.0,41.89636798,-87.649203901,"(41.89636798, -87.649203901)",12.0
208898,HZ535389,11/30/2016 11:36:00 PM,050XX S DR MARTIN LUTHER KING JR SD,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,N,Y,223,3.0,04B,1179907.0,1871504.0,41.802680551,-87.61572539,"(41.802680551, -87.61572539)",2.0
230933,JA312844,06/18/2017 10:54:00 PM,085XX S JEFFERY BLVD,0460,BATTERY,SIMPLE,STREET,N,N,412,8.0,08B,1191002.0,1848844.0,41.740238363,-87.575767792,"(41.740238363, -87.575767792)",4.0
140569,JA467020,10/11/2017 01:00:00 AM,062XX S RHODES AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,313,20.0,05,1180973.0,1863802.0,41.781521081,-87.612052922,"(41.781521081, -87.612052922)",3.0
102530,JA364702,07/26/2017 06:20:00 PM,044XX W BYRON ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,1731,38.0,03,1145936.0,1925552.0,41.951705448,-87.738940381,"(41.951705448, -87.738940381)",17.0
