Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
75247,JA277924,05/24/2017 08:36:00 PM,050XX N WINTHROP AVE,0820,THEFT,$500 AND UNDER,STREET,N,Y,2033,48.0,06,1167958.0,1933798.0,41.973885119,-87.657748827,"(41.973885119, -87.657748827)",20.0
152829,JA137122,01/31/2017 02:00:00 PM,064XX S ROCKWELL ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,825,15.0,14,1160146.0,1861863.0,41.776654218,-87.688463016,"(41.776654218, -87.688463016)",8.0
125403,JA395648,08/17/2017 10:25:00 PM,066XX S LANGLEY AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,ALLEY,N,N,321,20.0,26,1182034.0,1861097.0,41.774073817,-87.608246709,"(41.774073817, -87.608246709)",3.0
214339,HZ539523,12/04/2016 10:15:00 AM,052XX S NARRAGANSETT AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,811,23.0,26,1134595.0,1869232.0,41.797363703,-87.781960373,"(41.797363703, -87.781960373)",8.0
54974,JA247198,05/02/2017 12:00:00 AM,125XX S INDIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,532,9.0,14,1179875.0,1821568.0,41.665650876,-87.617366198,"(41.665650876, -87.617366198)",5.0
258574,JA490393,10/29/2017 02:15:00 AM,005XX N CLARK ST,0850,THEFT,ATTEMPT THEFT,SIDEWALK,N,N,1831,42.0,06,1175445.0,1903808.0,41.891426223,-87.631120661,"(41.891426223, -87.631120661)",18.0
236543,JA423336,09/01/2017 12:00:00 AM,074XX S MAY ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,733,17.0,11,1169939.0,1855526.0,41.759057567,-87.652746098,"(41.759057567, -87.652746098)",7.0
105492,JA460831,09/29/2017 12:00:00 PM,013XX N State Pkwy,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,N,N,1824,43.0,11,1176041.0,1909282.0,41.906433742,-87.628766759,"(41.906433742, -87.628766759)",18.0
209915,HZ541849,11/28/2016 09:00:00 AM,040XX W WELLINGTON AVE,0810,THEFT,OVER $500,RESIDENCE-GARAGE,N,N,2523,31.0,06,1148852.0,1919639.0,41.935423695,-87.728374507,"(41.935423695, -87.728374507)",25.0
242983,JA431927,09/10/2017 10:00:00 PM,061XX S FRANCISCO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,823,15.0,07,1158103.0,1863711.0,41.781767193,-87.695902399,"(41.781767193, -87.695902399)",8.0
164423,JA139530,01/31/2017 04:30:00 AM,013XX N KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1422,26.0,08B,1154785.0,1908685.0,41.905248066,-87.706864379,"(41.905248066, -87.706864379)",14.0
128889,JA400879,08/21/2017 07:40:00 PM,009XX E 76TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,624,8.0,14,1183725.0,1854814.0,41.756793365,-87.602243661,"(41.756793365, -87.602243661)",6.0
