Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
155726,JA109154,01/09/2017 10:45:00 AM,087XX S JEFFERY BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,N,Y,412,8.0,08B,1191030.0,1847518.0,41.736599019,-87.575707974,"(41.736599019, -87.575707974)",4.0
47847,JA237962,04/24/2017 11:28:00 PM,085XX S LOOMIS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,613,21.0,14,1168485.0,1848189.0,41.738955271,-87.658285904,"(41.738955271, -87.658285904)",6.0
219016,HZ544925,12/08/2016 05:49:00 PM,027XX W MADISON ST,5011,OTHER OFFENSE,LICENSE VIOLATION,GROCERY FOOD STORE,Y,N,1222,2.0,26,1158054.0,1899904.0,41.881086082,-87.695096188,"(41.881086082, -87.695096188)",12.0
185656,JA165496,02/21/2017 03:00:00 PM,008XX N MOZART ST,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,N,N,1211,26.0,06,1157224.0,1905756.0,41.897161408,-87.6979848,"(41.897161408, -87.6979848)",12.0
65300,JA254410,05/07/2017 03:49:00 PM,045XX S DAMEN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,DEPARTMENT STORE,Y,N,924,12.0,03,1163683.0,1874594.0,41.811516168,-87.675139142,"(41.811516168, -87.675139142)",9.0
163241,JA133993,01/17/2017 12:00:00 PM,029XX W FLOURNOY ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,N,N,1135,2.0,11,1156940.0,1896893.0,41.872846261,-87.699268418,"(41.872846261, -87.699268418)",11.0
235792,JA313703,06/19/2017 12:36:00 PM,059XX S MAY ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,712,16.0,26,1169668.0,1865369.0,41.786073858,-87.653454123,"(41.786073858, -87.653454123)",7.0
166246,JA136663,01/31/2017 12:00:00 PM,017XX N LOCKWOOD AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2532,37.0,06,1140793.0,1911103.0,41.912152235,-87.758202532,"(41.912152235, -87.758202532)",25.0
155446,JA134488,01/29/2017 05:45:00 PM,004XX E OHIO ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,1834,42.0,26,1179501.0,1904294.0,41.892667777,-87.616210158,"(41.892667777, -87.616210158)",18.0
263562,JA440086,09/21/2017 02:00:00 AM,066XX S KEDVALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,833,13.0,14,1149846.0,1860270.0,41.772488514,-87.726264017,"(41.772488514, -87.726264017)",8.0
128905,JA400688,08/21/2017 06:00:00 PM,073XX S VERNON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,N,N,323,6.0,14,1180517.0,1856398.0,41.76121424,-87.613951758,"(41.76121424, -87.613951758)",3.0
244393,JA482357,10/20/2017 06:00:00 PM,042XX S PULASKI RD,0610,BURGLARY,FORCIBLE ENTRY,OTHER,N,N,815,14.0,05,1150376.0,1876418.0,41.816790788,-87.723901519,"(41.816790788, -87.723901519)",8.0
83054,JA450778,09/28/2017 09:03:00 PM,013XX N HAMLIN AVE,0550,ASSAULT,AGGRAVATED PO: HANDGUN,SIDEWALK,N,N,2535,26.0,04A,1150801.0,1908555.0,41.904970242,-87.721502395,"(41.904970242, -87.721502395)",25.0
29783,JA325114,06/23/2017 06:30:00 PM,026XX W DIVERSEY AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,SIDEWALK,N,N,1411,1.0,11,1158371.0,1918507.0,41.93212776,-87.693422596,"(41.93212776, -87.693422596)",14.0
151720,JA472389,10/14/2017 05:00:00 PM,070XX N RAVENSWOOD AVE,0810,THEFT,OVER $500,OTHER,N,N,2424,49.0,06,1163079.0,1946655.0,42.009269306,-87.675326876,"(42.009269306, -87.675326876)",24.0
249350,JA478995,10/20/2017 05:01:00 PM,015XX E 83RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,411,8.0,08B,1188168.0,1850261.0,41.744194741,-87.586105989,"(41.744194741, -87.586105989)",4.0
