Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
71492,JA273021,05/20/2017 12:00:00 PM,051XX S MAPLEWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,923,14.0,14,1160241.0,1870468.0,41.800265547,-87.687877924,"(41.800265547, -87.687877924)",9.0
246200,JA437299,08/23/2017 11:00:00 AM,017XX N BISSELL ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1813,43.0,06,1170040.0,1911573.0,41.912853516,-87.650743624,"(41.912853516, -87.650743624)",18.0
243682,JA430112,09/09/2017 12:30:00 PM,048XX W NORTH AVE,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,N,N,2533,37.0,06,1143844.0,1910199.0,41.909614875,-87.747016581,"(41.909614875, -87.747016581)",25.0
147214,JA107115,01/07/2017 09:00:00 AM,031XX S ASHLAND AVE,0890,THEFT,FROM BUILDING,OTHER,N,N,912,11.0,06,1166183.0,1883676.0,41.836385231,-87.66571041,"(41.836385231, -87.66571041)",9.0
165486,JA128471,01/24/2017 03:50:00 PM,052XX S HARPER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,Y,N,234,4.0,14,1187173.0,1870674.0,41.800233416,-87.589104487,"(41.800233416, -87.589104487)",2.0
168635,JA148091,02/09/2017 10:00:00 PM,062XX S ASHLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,Y,N,714,16.0,26,1166742.0,1863261.0,41.780352232,-87.66424243,"(41.780352232, -87.66424243)",7.0
215432,HZ541107,12/05/2016 02:00:00 PM,008XX W GRACE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1923,46.0,11,1170038.0,1925543.0,41.951187878,-87.65034213,"(41.951187878, -87.65034213)",19.0
143956,JA117128,01/15/2017 04:31:00 PM,020XX W CHICAGO AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,1221,1.0,06,1162692.0,1905336.0,41.895896023,-87.677913394,"(41.895896023, -87.677913394)",12.0
15401,JA194651,03/21/2017 07:00:00 AM,030XX N BROADWAY,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,1934,44.0,06,1171721.0,1920469.0,41.937227668,-87.644305471,"(41.937227668, -87.644305471)",19.0
246592,JA430929,09/14/2017 10:00:00 AM,026XX N FRANCISCO AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1411,35.0,05,1156583.0,1917511.0,41.929431094,-87.700020307,"(41.929431094, -87.700020307)",14.0
31113,JA178878,03/07/2017 01:00:00 PM,079XX S DREXEL AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,Y,N,624,8.0,05,1183609.0,1852561.0,41.750613606,-87.602738891,"(41.750613606, -87.602738891)",6.0
47078,JA237752,04/24/2017 06:30:00 PM,054XX N SPAULDING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,Y,1712,40.0,14,1153401.0,1935950.0,41.980092865,-87.711221411,"(41.980092865, -87.711221411)",17.0
117752,JA388095,08/10/2017 10:00:00 AM,009XX N LAWNDALE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,1112,27.0,26,1151543.0,1906059.0,41.89810642,-87.718842458,"(41.89810642, -87.718842458)",11.0
56866,JA251596,05/04/2017 04:00:00 PM,032XX N LAKE SHORE DR,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,N,N,1925,44.0,06,1172966.0,1922076.0,41.941609784,-87.639682152,"(41.941609784, -87.639682152)",19.0
259469,JA497008,10/23/2017 01:00:00 PM,114XX S ST LAWRENCE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,531,9.0,06,1182292.0,1829193.0,41.68651953,-87.6082861,"(41.68651953, -87.6082861)",5.0
246984,JA430528,09/14/2017 02:50:00 AM,011XX E 93RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,413,8.0,08B,1185312.0,1843540.0,41.725819169,-87.596781291,"(41.725819169, -87.596781291)",4.0
99794,JA361450,07/24/2017 02:40:00 PM,059XX S LAFLIN ST,0460,BATTERY,SIMPLE,SIDEWALK,N,N,713,16.0,08B,1167350.0,1865382.0,41.786159515,-87.661952684,"(41.786159515, -87.661952684)",7.0
130617,JA403334,08/23/2017 05:10:00 PM,058XX W BELMONT AVE,0560,ASSAULT,SIMPLE,GAS STATION,N,N,1633,38.0,08A,1137067.0,1920682.0,41.938505829,-87.771660509,"(41.938505829, -87.771660509)",25.0
18976,JA323923,06/26/2017 12:00:00 AM,015XX S SPAULDING AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1022,24.0,05,1154616.0,1892229.0,41.860094531,-87.707925692,"(41.860094531, -87.707925692)",10.0
101551,JA362776,07/25/2017 01:45:00 PM,037XX W ROOSEVELT RD,5011,OTHER OFFENSE,LICENSE VIOLATION,SIDEWALK,Y,N,1011,24.0,26,1151693.0,1894455.0,41.866260859,-87.718596813,"(41.866260859, -87.718596813)",11.0
137921,JA136131,01/28/2017 05:30:00 PM,050XX N DELPHIA AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1614,41.0,06,1118122.0,1932503.0,41.971263675,-87.841039877,"(41.971263675, -87.841039877)",16.0
57175,JA250411,05/04/2017 12:55:00 PM,079XX S DAMEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,GAS STATION,N,Y,611,18.0,08B,1164404.0,1852184.0,41.750005014,-87.673125651,"(41.750005014, -87.673125651)",6.0
114682,JA460661,10/03/2017 01:30:00 PM,046XX W MAYPOLE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1113,28.0,06,1145306.0,1901054.0,41.88449243,-87.741877356,"(41.88449243, -87.741877356)",11.0
191228,JA167375,02/25/2017 11:00:00 PM,005XX W ARLINGTON PL,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1935,43.0,06,1172347.0,1916662.0,41.926767275,-87.642117641,"(41.926767275, -87.642117641)",19.0
198033,JA173141,03/01/2017 08:15:00 AM,027XX S CALIFORNIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1034,12.0,14,1158147.0,1885749.0,41.842241391,-87.695141061,"(41.842241391, -87.695141061)",10.0
100300,JA362137,07/24/2017 10:50:00 PM,021XX W NORTH AVE,0810,THEFT,OVER $500,STREET,N,N,1434,32.0,06,1161842.0,1910623.0,41.910421732,-87.680887574,"(41.910421732, -87.680887574)",14.0
208472,HZ533515,11/29/2016 03:30:00 PM,028XX N NEVA AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,Y,2511,36.0,06,1127931.0,1918063.0,41.93147832,-87.805297379,"(41.93147832, -87.805297379)",25.0
232067,JA414509,08/10/2017 04:00:00 PM,014XX N SEDGWICK ST,0810,THEFT,OVER $500,RESIDENCE,N,N,1821,27.0,06,1173383.0,1909988.0,41.908430535,-87.638509526,"(41.908430535, -87.638509526)",18.0
94244,JA353945,07/18/2017 10:55:00 PM,062XX S CLAREMONT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,825,15.0,08B,1161798.0,1863218.0,41.78033837,-87.682369222,"(41.78033837, -87.682369222)",8.0
149123,JA113464,01/05/2017 07:30:00 AM,023XX S SAWYER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1024,24.0,14,1155061.0,1888318.0,41.849353397,-87.706397027,"(41.849353397, -87.706397027)",10.0
173559,JA153945,02/14/2017 06:00:00 PM,0000X N MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,114,42.0,06,1177309.0,1900530.0,41.882389156,-87.624374606,"(41.882389156, -87.624374606)",1.0
228247,HZ554215,12/16/2016 06:30:00 PM,062XX W PATTERSON AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1633,38.0,06,1134175.0,1923621.0,41.946622268,-87.782220014,"(41.946622268, -87.782220014)",16.0
43209,JA331080,07/02/2017 03:00:00 AM,023XX N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1414,35.0,14,1156774.0,1915585.0,41.924142132,-87.699370763,"(41.924142132, -87.699370763)",14.0
190968,HZ516648,11/15/2016 09:00:00 AM,022XX E 82ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,414,8.0,14,1192504.0,1851039.0,41.746225221,-87.570193421,"(41.746225221, -87.570193421)",4.0
116074,JA383059,08/08/2017 02:00:00 AM,014XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,N,N,131,2.0,14,1177452.0,1893551.0,41.863235129,-87.624061274,"(41.863235129, -87.624061274)",1.0
