Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
52265,JA244024,04/29/2017 01:00:00 PM,021XX E 97TH PL,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,431,7.0,06,1191747.0,1840737.0,41.717973946,-87.573300518,"(41.717973946, -87.573300518)",4.0
232679,JA412932,08/31/2017 07:29:00 AM,050XX W JACKSON BLVD,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,SIDEWALK,N,N,1533,28.0,03,1142947.0,1898203.0,41.876713223,-87.750611108,"(41.876713223, -87.750611108)",15.0
227434,JA311197,06/17/2017 12:00:00 AM,001XX N MASON AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1512,29.0,05,1136750.0,1900397.0,41.882847054,-87.773312342,"(41.882847054, -87.773312342)",15.0
222528,JA307614,06/14/2017 08:00:00 PM,019XX N CLEVELAND AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1813,43.0,06,1172622.0,1913139.0,41.917093917,-87.64121163,"(41.917093917, -87.64121163)",18.0
29963,JA212977,04/05/2017 02:00:00 AM,040XX N KILBOURN AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1722,38.0,06,1145495.0,1926398.0,41.954035325,-87.740539998,"(41.954035325, -87.740539998)",17.0
146621,JA145621,02/07/2017 07:15:00 PM,030XX W FLOURNOY ST,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,APARTMENT,Y,N,1134,28.0,15,1156251.0,1896878.0,41.872819038,-87.701798472,"(41.872819038, -87.701798472)",11.0
18074,JA453653,08/22/2017 03:00:00 PM,049XX W WRIGHTWOOD AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,2521,31.0,26,,,,,,
188487,JA164577,02/23/2017 01:30:00 PM,052XX W CHICAGO AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,Y,N,1524,37.0,18,1141060.0,1904824.0,41.894917016,-87.757376511,"(41.894917016, -87.757376511)",15.0
224135,HZ549280,12/12/2016 10:00:00 AM,014XX N OAKLEY BLVD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1424,1.0,05,1160813.0,1909427.0,41.907161234,-87.684700952,"(41.907161234, -87.684700952)",14.0
185272,JA300271,06/10/2017 12:00:00 AM,030XX W COLUMBUS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,835,18.0,08B,1157267.0,1852822.0,41.75190309,-87.699261704,"(41.75190309, -87.699261704)",8.0
209912,JA180920,03/09/2017 12:20:00 PM,010XX N KEELER AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",Y,N,1111,37.0,08B,1148187.0,1906782.0,41.900155706,-87.731150217,"(41.900155706, -87.731150217)",11.0
259893,JA494546,10/30/2017 06:00:00 PM,015XX E 83RD PL,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",N,N,412,8.0,08A,1187806.0,1849920.0,41.743267622,-87.587443207,"(41.743267622, -87.587443207)",4.0
19692,JA200564,03/25/2017 09:15:00 PM,035XX W VAN BUREN ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,Y,N,1133,28.0,18,1152955.0,1897800.0,41.875415013,-87.713875252,"(41.875415013, -87.713875252)",11.0
214496,JA183795,03/11/2017 06:26:00 PM,111XX S VERNON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,531,9.0,26,1181221.0,1831252.0,41.692194381,-87.61214371,"(41.692194381, -87.61214371)",5.0
194699,HZ521885,11/18/2016 02:30:00 PM,107XX S VERNON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,513,9.0,11,1181147.0,1833906.0,41.699479019,-87.612333296,"(41.699479019, -87.612333296)",5.0
231182,JA412555,08/30/2017 01:25:00 PM,022XX E 70TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,331,5.0,05,1192209.0,1858984.0,41.768034122,-87.57101638,"(41.768034122, -87.57101638)",3.0
36639,JA329145,06/30/2017 04:30:00 PM,051XX S LAFLIN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,934,16.0,08B,1167200.0,1870876.0,41.801238916,-87.662345434,"(41.801238916, -87.662345434)",9.0
222472,JA307111,06/14/2017 06:17:00 PM,008XX E 103RD ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",Y,N,512,9.0,08B,1183988.0,1836860.0,41.707519433,-87.601839023,"(41.707519433, -87.601839023)",5.0
200399,JA305183,06/11/2017 10:30:00 AM,041XX S ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,924,12.0,14,1166366.0,1877352.0,41.819027613,-87.665219378,"(41.819027613, -87.665219378)",9.0
13409,JA194056,03/20/2017 04:40:00 PM,027XX N MILWAUKEE AVE,0560,ASSAULT,SIMPLE,RESTAURANT,Y,N,1412,35.0,08A,1153986.0,1917838.0,41.930380649,-87.709554828,"(41.930380649, -87.709554828)",14.0
46922,JA236544,04/23/2017 10:10:00 PM,011XX S CANAL ST,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,Y,N,124,2.0,26,1173303.0,1895451.0,41.868541914,-87.639235361,"(41.868541914, -87.639235361)",1.0
35554,JA221850,04/11/2017 10:00:00 AM,076XX S UNION AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,N,Y,621,17.0,04A,1172956.0,1854286.0,41.755588822,-87.641725496,"(41.755588822, -87.641725496)",6.0
205867,HZ530964,11/27/2016 01:15:00 AM,090XX S CORNELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,413,8.0,07,1188813.0,1845417.0,41.730886932,-87.583897236,"(41.730886932, -87.583897236)",4.0
260432,JA437131,09/18/2017 10:13:00 PM,041XX W MADISON ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1115,28.0,06,1148697.0,1899688.0,41.880679165,-87.729460332,"(41.880679165, -87.729460332)",11.0
34485,JA219594,04/10/2017 12:30:00 PM,048XX W GLADYS AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,Y,N,1533,24.0,26,1144397.0,1897908.0,41.875876568,-87.745294518,"(41.875876568, -87.745294518)",15.0
