Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
82598,JA341237,07/09/2017 05:10:00 PM,035XX N PULASKI RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,1732,30.0,06,1149094.0,1923473.0,41.94593982,-87.727385537,"(41.94593982, -87.727385537)",17.0
2005,HZ565805,12/24/2016 12:00:00 PM,041XX W CRYSTAL ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2534,37.0,07,1148572.0,1908014.0,41.903529017,-87.729704247,"(41.903529017, -87.729704247)",25.0
40442,JA228652,04/17/2017 01:00:00 PM,044XX S KARLOV AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,815,14.0,05,1149759.0,1874837.0,41.812464284,-87.72620583,"(41.812464284, -87.72620583)",8.0
231412,JA412766,08/30/2017 12:01:00 AM,060XX S ST LAWRENCE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,313,20.0,04B,1181272.0,1865133.0,41.785166582,-87.610915732,"(41.785166582, -87.610915732)",3.0
121797,JA390807,08/14/2017 01:00:00 PM,025XX N KEDZIE BLVD,1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,BANK,N,N,1414,35.0,11,1154610.0,1916718.0,41.927294801,-87.707291815,"(41.927294801, -87.707291815)",14.0
234345,JA415535,09/02/2017 01:20:00 AM,100XX S LAFAYETTE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,511,9.0,03,1177694.0,1838497.0,41.712155991,-87.624838296,"(41.712155991, -87.624838296)",5.0
54511,JA246983,05/01/2017 09:10:00 PM,035XX W HARRISON ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,N,N,1133,24.0,04B,1153310.0,1897144.0,41.873607841,-87.712589241,"(41.873607841, -87.712589241)",11.0
133987,JA461824,10/07/2017 09:25:00 AM,023XX N HAMILTON AVE,0810,THEFT,OVER $500,STREET,N,N,1432,32.0,06,1161642.0,1915235.0,41.923081557,-87.681493523,"(41.923081557, -87.681493523)",14.0
71247,JA272485,05/20/2017 08:07:00 PM,008XX N MENARD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,Y,N,1511,29.0,15,1137547.0,1904917.0,41.895236207,-87.770276769,"(41.895236207, -87.770276769)",15.0
237286,JA419293,09/05/2017 02:00:00 AM,041XX W PETERSON AVE,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,N,N,1711,39.0,05,1147516.0,1939549.0,41.990083998,-87.732771577,"(41.990083998, -87.732771577)",17.0
