Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
249136,JA484169,10/03/2017 12:00:00 PM,035XX N KIMBALL AVE,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",OTHER,N,N,1732,35.0,11,1153099.0,1923246.0,41.945238279,-87.712670479,"(41.945238279, -87.712670479)",17.0
211717,HZ536727,12/02/2016 03:05:00 AM,088XX S SAGINAW AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,Y,N,423,7.0,15,1195413.0,1846932.0,41.734883985,-87.559669708,"(41.734883985, -87.559669708)",4.0
185690,JA162489,02/21/2017 06:30:00 PM,014XX W 47TH ST,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,Y,N,924,3.0,26,1167554.0,1873583.0,41.808659638,-87.660969527,"(41.808659638, -87.660969527)",9.0
108091,JA372222,08/01/2017 07:30:00 AM,016XX E 95TH ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,N,N,431,7.0,06,1188861.0,1842311.0,41.722362598,-87.58382047,"(41.722362598, -87.58382047)",4.0
105559,JA367915,07/29/2017 12:49:00 AM,012XX N STATE PKWY,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DRUG STORE,N,N,1824,43.0,11,1176070.0,1908457.0,41.90416925,-87.628685126,"(41.90416925, -87.628685126)",18.0
214389,HZ540310,12/04/2016 01:30:00 AM,0000X W TERMINAL ST,0890,THEFT,FROM BUILDING,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,N,N,1651,41.0,06,1100317.0,1935229.0,41.979006297,-87.906463155,"(41.979006297, -87.906463155)",16.0
123591,JA394305,08/16/2017 11:15:00 PM,056XX N LINCOLN AVE,031A,ROBBERY,ARMED: HANDGUN,HOTEL/MOTEL,Y,N,2011,40.0,03,1157660.0,1937177.0,41.983373861,-87.695524775,"(41.983373861, -87.695524775)",20.0
170011,JA152375,02/11/2017 11:59:00 AM,056XX S RICHMOND ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,824,14.0,06,1157674.0,1867079.0,41.791018177,-87.6973839,"(41.791018177, -87.6973839)",8.0
179178,JA299823,06/09/2017 06:00:00 PM,0000X E ROOSEVELT RD,1570,SEX OFFENSE,PUBLIC INDECENCY,CTA TRAIN,Y,N,123,2.0,17,1176818.0,1895074.0,41.867428687,-87.626342565,"(41.867428687, -87.626342565)",1.0
112391,JA379565,08/05/2017 11:00:00 AM,057XX N MAJOR AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,N,N,1622,45.0,07,1137212.0,1937672.0,41.985125381,-87.770717598,"(41.985125381, -87.770717598)",16.0
